"Sample.ID","NCBI.accession","Sample.collection.date","Host.species","Region","Province","Municipality","Barangay","Location","source","corrected_date","decimal_date","outbreak"
"04030PHI","EU086155","2004","Homo sapiens",NA,NA,NA,NA,"-","rabv-glue","2004-01-01",2004,"Other"
"18-092","OQ326757","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-094","OQ326761","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-096","OQ326764","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-099","OQ326750","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-101","OQ326755","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-102","OQ326752","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-103","OQ326754","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-106","OQ326751","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-107","OQ326749","2018","Canine","Davao Region",NA,"Compostela Valley",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-114","OQ326756","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-116","OQ326753","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-118","OQ326758","2018","Canine","Davao Region",NA,"Digos Cogon",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-120","OQ326762","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-121","OQ326766","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-130","OQ326759","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-133","OQ326760","2018","Canine","Davao Region",NA,"Tagum",NA,NA,"genbank","2018-01-01",2018,"Other"
"18-135","OQ326767","2018","Canine","Davao Region",NA,"Davao",NA,NA,"genbank","2018-01-01",2018,"Other"
